Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Diego Rossi,LAFC,F,19,19,1698,14,4,71,34,1,1/1,11,3,0.74,19.7,2,3,1,0.21,6,20,12,0,0,47.89,2020,reg
Gyasi Zardes,CLB,F,21,20,1717,12,4,41,19,2,0/2,8,4,0.63,29.3,1,2,2,0.21,19,27,17,1,0,46.34,2020,reg
Raul Ruidiaz ,SEA,F,17,17,1427,12,4,55,23,4,1/1,8,4,0.76,21.8,0,2,2,0.25,11,13,13,2,0,41.82,2020,reg
Robert Beric,CHI,F,23,22,1931,12,1,62,29,1,1/2,7,5,0.56,19.4,0,1,0,0.05,38,58,28,1,0,46.77,2020,reg
Jordan Morris,SEA,F,22,18,1724,10,8,39,18,3,0/0,8,2,0.52,25.6,0,5,3,0.42,6,12,13,1,0,46.15,2020,reg
Chris Mueller,ORL,F,22,17,1477,10,7,36,19,3,0/0,8,2,0.61,27.8,4,5,2,0.43,12,33,2,0,0,52.78,2020,reg
Cristian Pavon,LA,M,22,22,1980,10,7,63,26,2,3/3,5,5,0.45,15.9,2,5,2,0.32,20,27,5,1,0,41.27,2020,reg
Alejandro Pozuelo,TOR,M,23,23,2015,9,10,52,25,5,5/5,4,5,0.4,17.3,2,5,5,0.45,26,28,1,3,0,48.08,2020,reg
Kevin Molino,MIN,M,18,15,1264,9,4,38,17,3,1/1,5,4,0.64,23.7,2,3,1,0.28,16,48,4,0,0,44.74,2020,reg
Ayo Akinola,TOR,F,15,11,1063,9,0,36,18,2,0/0,4,5,0.76,25.0,0,0,0,0.0,28,7,13,1,0,50.0,2020,reg
Diego Valeri,POR,M,22,18,1628,8,7,39,16,3,3/3,5,3,0.44,20.5,0,1,6,0.39,10,19,2,2,0,41.03,2020,reg
Bradley Wright-Phillips,LAFC,F,18,14,1081,8,6,33,15,3,0/0,7,1,0.67,24.2,1,4,2,0.5,12,16,8,0,0,45.45,2020,reg
Romell Quioto,MTL,M,19,17,1483,8,6,51,20,2,0/0,4,4,0.49,15.7,2,3,3,0.36,13,23,16,2,1,39.22,2020,reg
Kacper Przybylko,PHI,F,23,23,1974,8,6,54,25,4,1/1,5,3,0.36,14.8,1,6,0,0.27,14,23,17,1,0,46.3,2020,reg
Daryl Dike,ORL,F,17,15,1224,8,4,30,12,2,0/0,5,3,0.59,26.7,1,2,2,0.29,25,30,6,0,0,40.0,2020,reg
Jeremy Ebobisse,POR,F,18,11,1062,8,2,32,14,1,0/0,2,6,0.68,25.0,1,2,0,0.17,9,10,3,0,0,43.75,2020,reg
Sergio Santos,PHI,F,21,17,1218,8,2,34,12,3,0/0,6,2,0.59,23.5,0,0,2,0.15,34,20,9,4,0,35.29,2020,reg
Teal Bunbury,NE,F,22,19,1466,8,1,43,12,3,0/0,2,6,0.49,18.6,0,1,0,0.06,22,23,6,3,0,27.91,2020,reg
Damir Kreilach,RSL,M,21,20,1770,8,1,48,20,2,0/0,5,3,0.41,16.7,0,0,1,0.05,30,33,5,4,0,41.67,2020,reg
Nicolás Lodeiro,SEA,M,20,20,1782,7,10,40,18,2,4/4,4,3,0.35,17.5,6,7,3,0.51,14,54,3,2,0,45.0,2020,reg
Darwin Quintero,HOU,F,22,20,1689,7,10,59,24,2,0/1,4,3,0.37,11.9,1,3,7,0.53,11,26,9,5,0,40.68,2020,reg
Robin Lod,MIN,M,20,18,1585,7,5,40,13,0,0/0,4,3,0.4,17.5,1,5,0,0.28,21,8,2,3,0,32.5,2020,reg
Felipe Mora,POR,F,19,13,1204,7,2,32,17,3,0/0,3,4,0.52,21.9,0,1,1,0.15,7,31,6,0,0,53.12,2020,reg
Jaroslaw Niezgoda,POR,F,17,7,602,7,1,12,9,1,0/0,5,2,1.05,58.3,0,1,0,0.15,2,3,0,0,0,75.0,2020,reg
Chris Wondolowski,SJ,F,22,13,1275,7,1,31,19,1,2/3,4,3,0.49,22.6,0,1,0,0.07,11,14,10,1,0,61.29,2020,reg
Franco Jara,DAL,F,19,16,1388,7,0,37,20,3,1/1,4,3,0.45,18.9,0,0,0,0.0,27,27,11,4,0,54.05,2020,reg
Pedro Santos,CLB,M,22,22,1841,6,8,44,16,4,1/1,4,2,0.29,13.6,2,5,3,0.39,30,47,1,4,0,36.36,2020,reg
Alan Pulido,SKC,F,12,11,962,6,5,36,18,3,1/1,3,3,0.56,16.7,2,2,3,0.47,8,30,6,3,0,50.0,2020,reg
Nani,ORL,M,19,16,1423,6,5,51,16,2,1/1,3,3,0.38,11.8,1,3,2,0.32,14,27,3,3,1,31.37,2020,reg
Lucas Zelarayan,CLB,M,16,12,1039,6,4,23,10,3,0/1,5,1,0.52,26.1,1,2,2,0.35,16,19,0,2,0,43.48,2020,reg
Gadi Kinda,SKC,M,18,16,1394,6,4,35,11,1,0/0,3,3,0.39,17.1,2,2,2,0.26,30,25,2,5,1,31.43,2020,reg
Sebastian Lletget,LA,M,21,19,1692,6,4,37,18,1,0/0,4,2,0.32,16.2,0,2,2,0.21,20,22,4,1,0,48.65,2020,reg
Johnny Russell,SKC,F,21,17,1529,6,4,50,17,2,0/0,5,1,0.35,12.0,1,3,1,0.24,14,27,0,3,0,34.0,2020,reg
Valentin Castellanos,NYC,F,22,14,1341,6,3,75,34,1,2/2,4,2,0.4,8.0,0,2,1,0.2,55,26,14,7,0,45.33,2020,reg
Adam Buksa,NE,F,23,16,1499,6,2,59,24,1,0/1,2,4,0.36,10.2,0,0,2,0.12,31,20,4,4,0,40.68,2020,reg
Anthony Fontana,PHI,M,17,5,509,6,0,16,13,3,0/0,3,3,1.06,37.5,0,0,0,0.0,16,12,0,4,0,81.25,2020,reg
Lucas Cavallini,VAN,F,18,16,1457,6,0,44,18,4,0/2,5,1,0.37,13.6,0,0,0,0.0,31,42,7,7,1,40.91,2020,reg
